tweet_text,cyberbullying_type
@MaxBlumenthal @cpassevant @anadumitrescu13 Post-Hebdo? LOL. Events like it are a daily occurrence around the world. Why isolate one.,not_cyberbullying
You know there are people out there who like @joeyBADASS_ but don't listen to old school.,not_cyberbullying
@Firebomb173 @ANDAASONSAN not the first time it's happened. That was probably the worst though.,not_cyberbullying
@KamilaaRudenko how are u ?,not_cyberbullying
"The contact form on the site was bugged. Turns out that if you use a ']' in the email subject prefix, it breaks everything. silly wordpress.",not_cyberbullying
"The thing about Uber is, even if it wasn't a horrible, sexist, shitty company, I would still be against it.",not_cyberbullying
I think @bxokrissy third period teacher doesn't like me he always tells me to go to class when I walk u to class,not_cyberbullying
@andythewookie1 what's that quote about jacking off with one hand and pointing with the other?,not_cyberbullying
"I hope this round humbled the girls, they can't cook #MKR",not_cyberbullying
@MelissaRyan Look at what DC Public Schools are doing for bullying LGBT students now that @m_rhee is gone. http://t.co/ZegLmS7,not_cyberbullying
Really miss my classmates n schoolmates. See you all soon people,not_cyberbullying
Fuck. #MKR,not_cyberbullying
#mkr Promo girls are going to BRING IT in the next round. Yeah! Bring it! Bring your store bought capsicums!,not_cyberbullying
Hey Ma in the orange skirt,not_cyberbullying
Fuck this paper bullshit,not_cyberbullying
Elephants??? Direct them to #cuntandandre,not_cyberbullying
Film ini salah satu potret bullying dikalangan anak2 #mynameiskhan,not_cyberbullying
#NowWatching a Charlie Brown Thanksgiving #classic,not_cyberbullying
Let's talk about what it means to be a victim. http://t.co/FInA7zfTTT,not_cyberbullying
"@MileyCyrus @JuliaAllynn no, you are ahhhhhmazing! &lt;3",not_cyberbullying
"@janaane poise, odiei aquilo ele sofria bullying de meninas porisso matou muitas meninas, mais mesmo assim aquelas crianças nao tinham culpa",not_cyberbullying
"Bitch fuck you RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicity
realizing this white lady on The Cookout called them negros in the beginning then was all in his house and sitting at they table,ethnicity
This dude said "dumb sosh nigger fuck",ethnicity
I'M DARK SKIN YOU DUMB FUCK RT @niggalogic @SuicideRascal YOU NEED TO DIE FOR BEING A HOUSE NIGGER,ethnicity
"that's horrible to read, 'cause I'm feeling so disgusted by such these white ppl, I'm also one white human, but I hate those types so much! White didn't really face racism like other colored ppl do, in my opinion, it's not the same.",ethnicity
Lol. u bet!"@Psyche_Mac: Racism is when u wash ur white clothes before the colored ones...",ethnicity
"“@tayyoung_: FUCK OBAMA, dumb ass nigger” mad ehh?!",ethnicity
"@ki__2x fuck you dumb nigger, pull you pants up and step up bitch. I will yam on yo black ass",ethnicity
ms trisha ur mind it amazes me one of the first bw au that i actually finished shdjnxksjsjshsb anw keep doing what ur doing ily and ur works of art &lt;3,ethnicity
"&lt;tsui-ji&gt; gyl: go into #asian and tell em you are white, have muscles and drive a nice car and mad chicks will msg you",ethnicity
"I call BS. The homeowners didn't have to feel threatened by black peaceful protestors walking past their home. If anything, they escalated a confrontation.",ethnicity
@skeppyextra hi i donated on ur stream asking if u could check oht my fanart :) it was my first one so it was bad but i still really want you to see it:),ethnicity
"“@tayyoung_: FUCK OBAMA, dumb ass nigger”&lt;&lt;&lt; Have Some Respect For Ur PRESIDENT Hoe!! Lol",ethnicity
"fuck you fat white bitch. RT @tayyoung_: FUCK OBAMA, dumb ass nigger.",ethnicity
Cute(˘̯˘ ).. RT @MacFreshPrince: GAY! :"D dumb fucks"@_L_ANDILE_: Gay! "@Reciprocator_: What do you call niggers who listen to bieber?"",ethnicity
"You ain't get no Dick tonight so you mad at the black man.!?....“@tayyoung_ FUCK OBAMA, dumb ass nigger”",ethnicity
I'm tired of these stupid niggers on ps3. Shut the fuck up your fucking dumb porch monkey,ethnicity
"1 incident of racism vs 1 of kindness, of course @AlArabiya_Eng picks -ve. Playing #victim always! @MrPolyatheist",ethnicity
Let Me Stop Retweeting Dumb Shit myBoy Fuck Around &amp; Break myFucking Neck Crazy Ass Fucking Niggers I Mess W|,ethnicity
#RealClassy #StripsForCopsAndIsMarried #DISGUSTING'Filthy nigger!'White woman reacts 2 Black man starting his car.... http://ohnblog.com/newohnblog/2014/06/04/filthy-nigger-white-woman-reacts-to-black-man-starting-his-car/,ethnicity
Haha You Can't Say Black Nigger In The Same Sentence Because Niggers Are Obviously Black Ya Dumb Fuck,ethnicity
Wow! Birds of a feather flock together. Roger Stone called Mo Kelly a Negro while on Mo's show. @realdonaldtrump surrounds himself with open racists bc he (45) is a racist himself. Racist white people R notorious 4 using racist tropes while maintaining that they R not racists.,ethnicity
"RT @Mr200taxnjckson: Taylor on a scale from cracker to pretzel , how salty are you ? RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicity
"as the world caves in, first one on spotify ig, btw if ur sad rn and thats why your asking i really hope you feel better soon",ethnicity
"A Harvard JD doesn't imply ""dumb"" RT @StaxxFifth: AH YOUMAD BITCH SUCK THIS LONG SHADED SMULE RT @tayyoung_: FUCK OBAMA, dumb ass nigger",ethnicity
"“@ranran_42: EVERYONE STAYS HATIN SORRY I LIKE TO BE HAPPY &amp; BLAST CHRISTMAS MUSIC, ITS BETTER THAN YOUR DUMB NIGGER SHIT FUCK.”",ethnicity
Fuck you doris ya dumb nigger,ethnicity
Y'all make sure y'all following a nigga #coon⛽🅰🆖💯lilbitch 😹😹👌 #joeworld,ethnicity
Dumb fuck wipe your ass bitch nigger cock muncher idiot,ethnicity
why the fuck am I a dumb fucking nigger you dumb fucking nigger,ethnicity
Why have I got someone on my timeline sayin fuck david stern you a dumb ass nigger for sayin that,ethnicity
"i’ve noticed it’s a trend on here y’all have to belittle accomplishments and make ppl feel like shit for simple stuff like graduating/going back to school, getting your first apartment (or a new one), buying a used car, etc. take that shit elsewhere. fix ur spirit.",ethnicity
"So a random Iowa fan pulls up in his car and sees me in a Michigan State shirt and says, "" Fuck you and Michigan State you dumb nigger..""",ethnicity
As a black man I’m not supporting music that tells me to go kill or harm another black man... keep all that gang shit/ fuck the ops shit out my ear. Niggers are dumb supporting that BS then be heartbroken when a black man dies by the hands of another...,ethnicity
But... he’s right. Atlanta is full of so called shoot em up negros and a Wendys was the best you could do? The hood want respect from everybody but only want to do it to each other and never White Supremacy.,ethnicity
Black is a color . African American is a Culture . Nigger means ignorant . Learn your facts dumb fucks .,ethnicity
"After black soldiers fought in WWI, many of them came home refusing to acquiesce to whiteness. They would do crazy stuff like look white men in the eye and call them by their first names. They called themselves the ""new negro"" - who thought of themselves as equal to whites.",ethnicity
@KeithBishop64 Very true. It was a nice show to watch until the racism incident. Did Ricky pick anybody who wasn't white?,ethnicity
@YourFavWhiteGuy shut the fuck upAbout your dumb as app your acting like a nagging nigger!,ethnicity
"Black ppl aren't expected to do anything, depended on for anything. Yet free to participate, work, enjoy the freedom of humans all across this globe. If you waste your energy on the past you will be wasting it for building the future.",ethnicity
Turner did not withhold his disappointment. Turner called the court an “abominable conclave of negro hating demons” (with one exception) who “issued another decree that colored men and women must be driven into Jim Crow cars whenever it suits the whim of any white community.”,ethnicity
I swear to God. This dumb nigger bitch. I have got to bleach my hair reeeeeal fuckin' soon. D:&lt; FUCK.,ethnicity
"Yea fuck you RT @therealexel: IF YOURE A NIGGER FUCKING UNFOLLOW ME, FUCKING DUMB NIGGERS.",ethnicity
Bro. U gotta chill RT @CHILLShrammy: Dog FUCK KP that dumb nigger bitch lmao,ethnicity
